URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodComunasCL,1.9.1,active,,CSCodComunasCL,Códigos de Comunas en Chile,"Códigos de Comunas para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","ValueSet/VSCodigosComunaCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodProvinciasCL,1.9.1,active,,CSCodProvinciasCL,Códigos de Provincias en Chile,"Códigos de Provincias para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","ValueSet/VSCodigosProvinciasCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodRegionCL,1.9.1,active,,CSCodRegionCL,Códigos de Regiones en Chile,"Códigos de Regiones para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","ValueSet/VSCodigosRegionesCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSEspecialidadFarma,1.9.1,active,,CSEspecialidadFarma,Especialidad Farmacia,"Especialidad de Farmacia","ValueSet/VSEspecialidadesCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSEspecialidadOdontologica,1.9.1,active,,CSEspecialidadOdontologica,Especialidad Odontologica,"Especialidad de Odontologica","ValueSet/VSEspecialidadesCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSEspecialidadesDeisCL,1.9.1,active,,CSEspecialidadesDeisCL,Códigos de Especialidades,"Códigos de especialidades médicas descritas según DEIS","ValueSet/VSEspecialidadesCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSSexoListadoDeis,1.9.1,active,,CSSexoListadoDeis,Sexo Listado Deis,"Sexo Listado Deis","ValueSet/VSSexoListadoDeis"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/EspecialidadesConacemConaceoCS,1.9.1,active,,EspecialidadesConacemConaceoCS,Códigos de Especialidades de CONACEM y CONACEO,"Códigos a usar para las Especialidades provenientes de La Corporación Nacional Autónoma de Certificación de Especialidades Médicas (CONACEM) y de La Corporación Nacional Autónoma de Certificación de Especialidades Odontológicas (CONACEO) de Chile","ValueSet/VSEspecialidadesCL"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSDerivadoPara,0.1.0,active,,CSDerivadoPara,Códigos asociados a la derivación,"Codigos asociados para la derivación de paciente, indicando el objetivo","ValueSet/VSDerivadoPara"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSExamenes,0.1.0,active,,CSExamenes,Códigos de Exámenes,"Codigos para examenes realizados por el paciente","ValueSet/VSExamenes"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSMarca,0.1.0,active,,CSMarca,Códigos de Marca,"Codigos de la marca del paciente","ValueSet/VSMArca"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSPrestacion,0.1.0,active,,CSPrestacion,Códigos de prestaciones,"Codigos para prestaciones","ValueSet/VSPrestacion"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSPrevision,0.1.0,active,,CSPrevision,CS Prevision,"Codigos de la previsión del paciente","ValueSet/VSPrevision"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSProbSalud,0.1.0,active,,CSProbSalud,Códigos de Problemas de Salud,"Codigos para problemas de salud de paciente","ValueSet/VSProbSalud"
https://hl7chile.cl/fhir/ig/sigescg/CodeSystem/CSTipoDoc,0.1.0,active,,CSTipoDoc,Códigos de tipo de documento,"Codigos para tipo de documento","ValueSet/VSTipoDoc"
